"symbol","lower_price","higher_price","lower_size","higher_size"
"ADSE","117600","135900",1,9265
"ADSEW","22540","26040",1,660
"ADSK","2680000","2750000",1,169450
"ADT","71500","74499",1,34826
"ADTN","58300","60850",1,110803
"ADTX","1341","2350",1,90500
"ADUS","1296400","1342900",1,27858
"ADV","34300","36100",1,89562
"ADVE","365999","366500",5,500
"ADVM","65100","71100",1,10736
"ADVWW","206","300",1,3000
"ADX","212400","214699",1,9100
"ADXN","90000","115300",1,938
"AE","252700","260000",1,1100
"AEAE","111101","111101",2,2
"AEAEW","130","200",61,48900
"AEE","837200","871300",1,45102
"AEF","55100","57700",1,9000
"AEFC","225100","228500",1,2915
"AEG","62900","65700",1,47777
"AEHL","7521","9699",1,9204
"AEHR","122500","135700",1,44223
"AEI","10900","15700",1,8300
"AEIS","1006650","1053550",1,33134
"AEM","816300","858515",1,1000000
"AEMB","389800","389800",150,150
"AEMD","3961","4829",1,19761
"AENT","22700","28500",1,4585
"AENTW","410","605",54,20000
"AEO","205850","221700",1,45000
"AEON","7993","10948",1,22130
"AEP","1000000","1021500",1,468055
"AER","901900","972400",1,43109
"AERT","20500","27000",1,5000
"AERTW","255","350",200,5000
"AES","194891","201800",1,95188
"AESI","211200","225000",1,38752
"AESR","169105","170450",1,9191
"AETH","337000","350800",1,1000
"AEVA","31800","35900",1,8000
"AEVA+","392","400",20,8220
"AEYE","225800","243600",1,7086
"AFB","116300","117049",1,2400
"AFBI","214000","216222",1,2712
"AFCG","104700","107900",1,29157
"AFG","1325300","1373500",1,27776
"AFGB","249199","251800",1,2000
"AFGC","224700","228499",1,1063
"AFGD","245700","250399",1,1700
"AFGE","198600","202200",1,600
"AFIF","91600","92200",1,110541
"AFJK","104800","105150",3,10500
"AFJKU","108550","108550",1,1
"AFK","170000","172500",1,2100
"AFL","1083173","1109800",1,63762
"AFLG","339100","341800",1,527
"AFMC","319450","323710",1,504
"AFMD","32700","34700",1,4799
"AFRI","109600","119900",1,1282
"AFRIW","12500","13684",1,1000
"AFRM","408700","444488",1,599535
"AFSM","290700","309600",1,228
"AFTY","153700","169700",1,1230
"AFYA","167550","173350",1,4000
"AG","62500","66800",1,94081
"AGAE","12100","14200",1,25415
"AGBA","20700","24500",1,18247
"AGBAW","1670","2789",2,1300
"AGCO","950100","992600",1,6969
"AGD","103200","106500",1,3111
"AGEN","49700","55300",1,81010
"AGFY","2181","2400",1,35499
"AGG","1000800","1018900",1,436900
"AGGH","215695","217400",1,6000
"AGGS","425950","425950",120,120
"AGGY","446400","448788",1,7639
"AGI","198300","210900",1,800000
"AGIH","251200","251991",1,4
"AGIO","419700","540000",1,98676
"AGIX","253300","264100",1,1967
"AGL","35700","39500",1,350000
"AGM","1800000","1889700",1,1000
"AGM.A","1396400","1499999",1,5572
"AGM-D","244400","247500",3,431
"AGM-E","242100","247400",5,3900
"AGM-F","226250","233450",1,800
"AGM-G","215400","223643",1,4589
"AGMH","14000","16200",1,22200
"AGMI","298137","310278",1,375
"AGNC","103300","105600",1,691875
"AGNCL","246800","249000",1,1931
"AGNCM","253400","255500",1,1050
"AGNCN","257100","259800",1,1400
"AGNCO","253100","255000",1,2377
"AGNCP","246901","249000",1,10000
"AGNG","326716","335900",1,3800
"AGO","793000","810900",1,160100
"AGOX","286900","294100",1,7597
"AGQ","410122","446300",1,27273
"AGQI","146600","147639",1,1966
"AGR","357000","372300",1,139100
"AGRH","259700","259701",1,1
"AGRI","501","535",1,248500
"AGRO","113200","122100",1,85000
"AGS","113200","114000",1,7100
"AGX","975000","1032000",1,15000
"AGYS","1073200","1120100",1,22035
"AGZ","1104000","1107390",1,2679
"AGZD","222600","224700",1,8900
"AHCO","101200","111400",1,262500
"AHG","10000","11500",1,1620
"AHH","107000","111400",1,73353
"AHH-A","242550","248500",1,3260
"AHL-C","261401","269100",1,1450
"AHL-D","215200","217899",1,1364
"AHL-E","210700","214400",1,1402
"AHLT","236800","238675",1,1821
"AHOY","254501","257600",1,21
"AHR","257350","269900",1,250000
"AHT","7200","9100",1,37194
"AHT-D","200600","212000",1,155
"AHT-F","172650","184900",1,200
"AHT-G","176400","185502",3,120
"AHT-H","170800","187800",3,802
"AHT-I","176300","186900",3,600
"AHYB","465400","467289",1,646
"AI","239600","249000",1,22684
"AIA","727600","784300",1,138000
"AIBD","190000","194600",1,224
"AIBU","300399","317400",1,1000
"AIEQ","371300","375788",1,328
"AIEV","4500","5879",1,20000
"AIFD","269600","299400",1,1789
"AIFF","27850","40500",1,1887
"AIG","728200","740900",1,34047
"AIHS","11500","12000",1,3000
"AILE","15200","18200",1,41338
"AILEW","1500","2748",1,49186
"AIM","2470","2799",1,33485
"AIMAU","115500","116699",1,500
"AIMBU","115400","115400",100,100
"AIMD","4900","5684",1,8842
"AIMDW","250","421",10,700
"AIN","868400","892900",1,9729
"AIO","210700","222200",1,9121
"AIOT","48400","53100",1,89787
"AIP","73970","79400",1,33129
"AIPI","493500","519000",1,6000
"AIQ","365400","384400",1,32823
"AIR","636700","665000",1,15000
"AIRE","12400","13100",1,3194
"AIRG","73500","80000",1,2100
"AIRI","55000","61600",1,13341
"AIRJ","58000","62800",1,14960
"AIRJW","3915","4899",1,4800
"AIRL","267500","270700",1,360
"AIRR","738900","752224",1,104350
"AIRS","52900","59000",1,13011
"AIRT","162501","179999",1,601
"AIRTP","170400","176400",1,682
"AISP","22300","26000",1,10163
"AISPW","1776","2500",1,20000
"AIT","2120100","2264900",1,12979
"AITR","104800","105200",1,11000
"AITRR","1700","1700",4,4
"AITRU","107100","107100",1,1
"AIV","91300","94500",1,7000
"AIVI","439900","444900",1,262
"AIVL","1098500","1115600",1,949
"AIXI","52900","74800",1,9968
"AIYY","91500","96600",1,3600
"AIZ","1922400","2015699",1,12164
"AIZN","226600","230000",1,887
"AJAN","260600","261399",1,1434
"AJG","2680000","2920000",1,31608
"AJUL","268022","269280",1,638
"AJX","33000","35100",1,10000
"AKA","235000","269877",1,300
"AKAM","994500","1023346",1,209832
"AKAN","11000","11900",1,4400
"AKBA","13000","13596",1,85094
"AKO.A","143800","154800",1,100
"AKO.B","187000","201300",1,1311
"AKR","228400","233800",1,28400
"AKRO","275100","299000",1,101604
"AKTS","700","932",1,298762
"AKTX","26700","38500",1,18332
"AKYA","26600","28800",1,14395
"AL","449500","461000",1,18400
"AL-A","251000","251300",1,3000
"ALAB","521000","554900",1,357488
"ALAI","230900","235500",1,4237
"ALAR","110501","128000",1,3563
"ALB","865800","988700",1,161653
"ALB-A","432500","460285",1,500000
"ALBT","2100","2250",1,14115
"ALC","941300","1039988",1,8242
"ALCE","1521","1800",1,7000
"ALCO","274400","288100",1,9066
"ALCY","108700","108850",1,35870
"ALCYW","710","711",461,461
"ALDX","53700","56700",1,35036
"ALE","639700","646790",1,4325
"ALEC","47650","51150",1,81207
"ALEX","191000","196463",1,3133
"ALF","100000","100300",3,802
"ALFUW","901","901",1,403
"ALG","1791800","1852800",1,6140
"ALGM","231300","247590",1,338911
"ALGN","2424500","2590100",1,79996
"ALGS","73500","84400",1,6195
"ALGT","468000","535000",1,60848
"ALHC","110700","116400",1,142513
"ALIT","70950","73900",1,327100
"ALK","430200","455000",1,43702
"ALKS","259400","279300",1,242087
"ALKT","302100","315100",1,64128
"ALL","1877000","1918200",1,66200
"ALL-B","261600","262800",1,2400
"ALLE","1395000","1464600",1,348700
"ALL-H","246800","249700",1,2600
"ALL-I","242400","245100",1,5000
"ALL-J","280500","282200",1,3800
"ALLK","5490","6719",1,47833
"ALLO","26200","29100",1,130430
"ALLR","20300","23500",1,5694
"ALLT","28700","31000",1,41700
"ALLY","340000","354750",1,100000
"ALMS","107700","128495",1,22500
"ALNT","189500","198900",1,13810
"ALNY","2670900","2791000",1,123453
"ALOT","125400","137400",1,3500
"ALPP","3301","3799",1,5000
"ALRM","536801","561045",1,82386
"ALRN","30647","37000",1,29440
"ALRS","215900","225600",1,6795
"ALSA","116200","116800",13,83
"ALSAR","610","826",4,2800
"ALSN","925700","972500",1,100000
"ALT","64000","73000",1,93942
"ALTG","60100","66900",1,65785
"ALTG-A","254481","256499",10,500
"ALTI","37600","40300",1,18272
"ALTL","378200","382250",1,1287
"ALTM","26400","29600",1,299351
"ALTO","15400","18500",1,9000
"ALTR","944900","965700",1,73296
"ALTS","16400","18900",1,11100
"ALTY","120200","121400",1,893
"ALUM","312000","346200",1,24
"ALUR","6008","6919",1,2098
"ALUR+","402","621",1,1000
"ALV","893700","978400",1,40700
"ALVO","111200","119800",1,6240
"ALVOW","26100","26695",2,100
"ALVR","7550","7998",1,13000
"ALX","2310000","2541500",1,1191
"ALXO","17600","20200",1,55079
"ALZN","15500","18100",1,8100
"AM","148105","152230",1,574600
"AMAL","306100","315300",1,24234
"AMAT","1967800","2121599",1,1089653
"AMAX","80400","81400",1,2387
"AMBA","543000","580000",1,55292
"AMBC","110400","114800",1,10658
"AMBI","45900","58000",1,3225
"AMBI+","2400","3800",1,5000
"AMBO","10304","12100",1,183
"AMBP","36500","38000",1,16000
"AMBP+","289","550",100,700
"AMC","43900","46600",1,62200
"AMCR","110220","114800",1,54921
"AMCX","75100","84800",1,180273
"AMD","1496500","1687300",1,1954281
"AMDL","151300","160600",1,22300
"AMDS","117000","120500",1,27682
"AMDY","147000","150500",1,5362
"AME","1707600","1739200",1,92200
"AMED","965900","974150",1,79309
"AMG","1742500","1797700",1,13200
"AMGN","3120000","3309200",1,521368
"AMH","382250","393528",1,68347
"AMH-G","247600","250900",1,1200
"AMH-H","248501","252130",1,1263
"AMID","351700","362600",1,2831
"AMIX","5800","6499",1,10000
"AMJB","281400","287550",1,11300
"AMKR","307400","325000",1,517275
"AMLI","5055","6520",1,44003
"AMLP","465342","474717",1,581594
"AMLX","30300","32888",1,18246
"AMN","411800","433400",1,61000
"AMNA","469219","471501",1,2
"AMND","456200","530000",1,1
"AMOM","425800","436587",1,9700
"AMP","4507200","4715700",1,57166
"AMPD","203900","207899",1,131
"AMPG","8000","8800",1,3654
"AMPH","467600","493200",1,33585
"AMPL","87000","90597",1,58952
"AMPS","31200","34650",1,47500
"AMPX","8800","11200",1,50000
"AMPX+","1250","1500",10,200
"AMPY","62140","65210",1,56141
"AMR","2235300","2522100",1,7500
"AMRC","330000","397050",1,5233
"AMRK","435400","463700",1,33319
"AMRN","5700","6080",1,83100
"AMRX","80500","84700",1,159797
"AMS","29700","31184",1,3500
"AMSC","213500","245999",1,120905
"AMSF","478300","489500",1,22067
"AMST","24000","27300",1,1687
"AMSWA","108700","112400",1,45847
"AMT","2288300","2381000",1,160241
"AMTB","190500","208225",1,81002
"AMTD","13200","14999",1,4300
"AMTM#","253000","279791",1,1476
"AMTR","639800","732000",1,400
"AMTX","22850","25500",1,35484
"AMUB","177700","179220",1,200
"AMWD","904600","952900",1,28381
"AMWL","92600","101200",1,1300
"AMX","158000","165600",1,7046
"AMZA","397400","411000",1,4100
"AMZD","130400","136900",1,3821
"AMZN","1748500","2011765",1,4434759
"AMZP","293001","296900",1,200
"AMZU","328100","355600",1,15000
"AMZY","195150","201000",1,5500
"AMZZ","262500","283800",1,9995
"AN","1734800","1856400",1,12100
"ANAB","312500","333400",1,81858
"ANDE","481900","512000",1,44812
"ANEB","18400","21000",1,800
"ANET","3762100","3990000",1,325000
"ANEW","451300","455600",1,200
"ANF","1346600","1450000",1,25569
"ANG-A","247900","249934",1,492
"ANG-B","247200","250600",1,89270
"ANGH","8225","8999",1,3946
"ANGHW","250","251",21,1402
"ANGI","25950","27285",1,14882
"ANGL","290850","299000",1,73752
"ANGO","73200","78000",1,89650
"ANIK","243900","253800",1,16472
"ANIP","570500","593300",1,30681
"ANIX","30850","32954",1,3144
"ANL","18500","22200",1,1964
"ANNX","58800","64800",1,200000
"ANRO","115200","125800",1,2500
"ANSC","103500","103600",1,219331
"ANSCU","104600","105950",6,100
"ANSCW","2490","2800",100,100000
"ANSS","3193800","3272700",1,78000
"ANTE","2750","4000",1,62793
"ANTX","10350","10898",1,19200
"ANVS","78200","85647",1,3998
"ANY","8710","10400",1,9689
"AOA","782700","793800",1,11277
"AOD","89001","90833",1,9919
"AOHY","112100","112500",1,5263
"AOK","385100","387700",1,9895
"AOM","448800","462400",1,17778
"AOMN","256000","260500",1,4180
"AOMR","100000","112000",1,4300
"AON","3441700","3650000",1,42000
"AOR","589200","600000",1,8000
"AORT","253200","273500",1,58036
"AOS","861000","920700",1,178353
"AOSL","360200","384900",1,25202
"AOTG","411600","420188",1,100
"AOUT","86774","92500",1,2260
"AP","20000","20900",1,7900
"AP+","1020","1050",200,600
"APA","230300","245900",1,1030910
"APAM","429600","440000",1,6431
"APCB","302832","304200",1,15552
"APCX","5603","6232",1,12424
"APD","2952000","3021700",1,272000
"APDN","9100","11300",1,13000
"APEI","141300","155900",1,26526
"APG","327700","345000",1,1176257
"APGE","565612","599900",1,43017
"APH","633709","669350",1,543886
"API","21902","24393",1,39600
"APIE","306940","313427",1,22605
"APLD","77500","87800",1,575542
"APLE","149800","153900",1,15325
"APLM","1280","1370",1,34908
"APLMW","138","139",50,50
"APLS","292800","311450",1,176008
"APLT","81500","87900",1,115481
"APLY","176200","180900",1,2500
"APM","16700","23100",1,4200
"APMU","250300","251200",17,19119
"APO","1230820","1266000",1,47000
"APO-A","682700","691999",1,300000
"APOG","682650","715000",1,24437
"APOS","274450","277400",1,15000
"APP","1256200","1338800",1,287034
"APPF","2300100","2397900",1,35018
"APPN","338800","359900",1,53931
"APPS","26600","33000",1,101096
"APRD","251200","252000",1,237
"APRE","26600","29500",1,616
"APRH","250001","251400",10,297
"APRJ","249300","250600",3,449
"APRQ","248700","249700",10,504
"APRT","376217","378000",1,1256
"APRW","321500","322131",6,3640
"APRZ","344300","346104",5,700
"APT","55000","58259",1,8000
"APTO","3900","4200",1,116076
"APTV","685679","754100",1,100000
"APUE","350650","352900",1,40670
"APVO","1650","1900",1,38404
"APWC","14200","16000",1,400
"APXI","116200","116700",1,50000
"APYX","11200","12400",1,12547
"AQB","11100","12700",1,1977
"AQMS","1853","1976",1,26220
"AQN","53700","66667",1,1018120
"AQNB","258178","265000",1,21332
"AQST","45340","52500",1,50799
"AQU","109400","111000",1,50
"AQUNU","111900","111900",100,100
"AQWA","183400","186200",1,200
"AR","272300","290000",1,316794
"ARAY","17200","18100",1,166852
"ARB","277200","278200",1,949
"ARBB","2603","3050",1,4979
"ARBE","18800","20000",1,5000
"ARBEW","2000","2100",5,50
"ARBK","10900","13500",1,28969
"ARBKL","100000","108500",1,1983
"ARC","33400","33900",1,14460
"ARCB","1075800","1153000",1,39525
"ARCC","204900","209400",1,215210
"ARCH","1318000","1408592",1,117800
"ARCM","1008400","1008700",1,10
"ARCO","83100","89200",1,110000
"ARCT","211000","223719",1,54879
"ARDC","150500","152800",1,8414
"ARDT","180200","197988",1,15000
"ARDX","60000","71800",1,313175
"ARE","1179400","1256499",1,50000
"AREA","209000","209000",1,1
"AREB","4500","5400",1,91974
"AREBW","101","148",24,13000
"AREC","7100","9300",1,25400
"AREN","6810","8200",1,1602
"ARES","1551100","1600000",1,21600
"ARGD","223400","227800",1,1409
"ARGO-A","245200","246700",1,3200
"ARGT","669700","745200",1,18370
"ARGX","5236900","5440600",1,13964
"ARHS","121900","130500",1,98272
"ARI","93600","95565",1,10000
"ARIS","157800","178000",1,5408
"ARKA","434656","487300",1,442
"ARKB","640801","665300",1,50000
"ARKC","304750","399100",1,3500
"ARKD","383400","427850",1,150
"ARKF","281112","301588",1,8000
"ARKG","251000","274071",1,300000
"ARKK","440254","481188",1,314926
"ARKO","68800","72700",1,61082
"ARKOW","5000","5300",40,200
"ARKQ","552900","615000",1,1886
"ARKR","112001","121000",1,2600
"ARKW","760000","862600",1,1387
"ARKX","157500","164200",1,6000
"ARKY","275400","335600",1,200
"ARKZ","295200","313300",1,500
"ARL","165900","181356",1,600
"ARLO","115100","122800",1,29500
"ARLP","241627","251499",1,12900
"ARLU","268368","268368",753,753
"ARM","1440000","1530600",1,187887
"ARMK","373600","424200",1,244477
"ARMN","46900","50250",1,50728
"ARMP","21900","23900",1,697
"AROC","200100","213700",1,43161
"AROW","279200","289608",1,6650
"ARP","289700","289800",1,3
"ARQ","55450","62500",1,46293
"ARQQ","37200","61000",1,12500
"ARQQW","363","1031",1,1100
"ARQT","90400","96800",1,248964
"ARR","202199","209988",1,30002
"ARR-C","223700","229000",1,3695
"ARRY","60900","69500",1,700330
"ARTL","10600","11600",1,1000
"ARTNA","361900","373300",1,1867
"ARTV","131501","154889",1,34341
"ARTW","17398","18732",1,10000
"ARTY","310000","350250",1,5000
"ARVN","236600","251700",1,87737
"ARVR","377306","381199",1,235
"ARW","1321000","1354300",1,132082
"ARWR","190700","201058",1,154821
"AS","155700","167000",1,309944
"ASA","207800","215160",1,4000
"ASAI","70700","76198",1,14294
"ASAN","115600","119799",1,70000
"ASB","212400","220100",1,100000
"ASBA","247001","248999",1,2000
"ASB-E","232000","236000",1,500
"ASB-F","218200","225699",1,2079
"ASC","175100","183100",1,8414
"ASEA","175540","179500",1,163733
"ASET","325300","328301",1,1057
"ASG","55300","56389",1,11234
"ASGI","198100","202400",1,12000
"ASGN","924000","958200",1,27190
"ASH","855100","885600",1,23465
"ASHR","248800","278000",1,1410000
"ASHS","266600","278800",1,4300
"ASIA","284550","287799",1,5300
"ASIX","290488","311156",1,18000
"ASLE","50100","52700",1,61610
"ASM","11100","12500",1,59300
"ASMB","152900","168600",1,2600
"ASMF","250350","251750",1,500
"ASML","8181800","9160000",1,126848
"ASND","1329000","1535800",1,36460
"ASNS","13900","15700",1,50000
"ASO","576600","619500",1,158033
"ASPI","26915","30200",1,122892
"ASPN","265000","288900",1,23736
"ASPS","10801","12200",1,18688
"ASR","2802100","2963450",1,1666
"ASRT","11605","12500",1,19000
"ASRV","26000","27400",1,2507
"ASST","13700","15697",1,10965
"ASTC","76500","85000",1,2000
"ASTE","308400","326650",1,30788
"ASTH","558201","581700",1,32779
"ASTI","23000","26000",1,1107
"ASTL","101950","105100",1,22741
"ASTLW","17000","19000",1,3500
"ASTS","216800","255600",1,316650
"ASTSW","29700","148800",1,3950
"ASUR","91250","94400",1,46382
"ASX","101500","107600",1,40752
"ASYS","59900","62399",1,1590
"ATAI","11600","12400",1,222507
"ATAT","230500","275500",1,139625
"ATCH","2300","2949",1,56800
"ATCO-D","252100","254700",3,250
"ATCO-H","251560","252000",1,1467
"ATCOL","250700","254500",1,600
"ATEC","53700","59000",1,178110
"ATEK","119500","122500",1,1
"ATEK=","114100","116900",1,200
"ATEN","135800","143450",1,7769
"ATER","28700","30500",1,20828
"ATEX","378800","394650",1,15805
"ATFV","222800","227600",1,450
"ATGE","737500","767000",1,16523
"ATGL","20100","47500",1,26841
"ATHA","4115","4500",1,34250
"ATH-A","251000","254000",1,1264
"ATH-B","227000","228700",1,958
"ATH-C","250500","251899",1,3211
"ATH-D","194500","196000",1,5000
"ATHE","12200","13800",1,2300
"ATH-E","265701","268700",1,3279
"ATHM","305200","332500",1,124500
"ATHS","256500","258299",1,1000
"ATI","651400","674700",1,145492
"ATIF","8900","12900",1,600
"ATIP","56600","62000",1,1512
"ATKR","848300","883000",1,31310
"ATLC","338000","353800",1,1961
"ATLCL","237577","240500",1,1350
"ATLCP","227700","231400",1,1649
"ATLCZ","251701","253000",1,2007
"ATLO","180900","186000",1,5500
"ATLX","66500","77900",1,33053
"ATMC","111950","112200",1,12
"ATMCR","1700","1889",100,600
"ATMCW","120","120",100,600
"ATMP","257800","262400",1,37579
"ATMU","359200","379600",1,92888
"ATNF","16800","19500",1,4128
"ATNFW","70","91",1,21829
"ATNI","307000","348600",1,15871
"ATNM","17700","18400",1,29172
"ATO","1360200","1432600",1,123217
"ATOM","24300","29074",1,7300
"ATOS","13700","15100",1,98532
"ATPC","18600","19800",1,4188
"ATR","1560900","1608500",1,15000
"ATRA","72600","84500",1,3000
"ATRC","279600","293900",1,66777
"ATRO","197900","202900",1,21087
"ATS","271500","306500",1,45618
"ATSG","151700","159166",1,67649
"ATUS","23601","25900",1,100677
"ATXG","5830","7400",1,5500
"ATXI","23000","25300",1,1900
"ATXS","106000","116910",1,58178
"ATYR","17200","18595",1,10001
"AU","276500","294700",1,43654
"AUB","369600","378400",1,10000
"AUB-A","243000","246399",6,1100
"AUBN","221500","259200",1,1000
"AUDC","95501","102900",1,5000
"AUGM","315204","316200",4,141693
"AUGT","304100","305400",3,2600
"AUGU","257350","258893",12,7730
"AUGW","287567","288900",2,12577
"AUGX","23300","23400",1,10700
"AUGZ","395500","395500",1,1
"AUID","62800","72255",1,1995
"AUMI","378700","393499",1,700
"AUMN","2420","4233",1,58890
"AUNA","71000","77664",1,5000
"AUPH","70900","74900",1,149094
"AUR","57100","67000",1,973769
"AURA","87000","94800",1,16045
"AUROW","6813","11900",1,10000
"AUSF","420700","427827",1,66207
"AUST","10100","11500",1,15000
"AUTL","34000","36800",1,10000
"AUUD","6570","7803",1,12098
"AUUDW","300","490",3,6522
"AVA","378540","389900",1,6125
"AVAH","51400","57200",1,40607
"AVAL","19800","21200",1,2300
"AVAV","1904440","2028400",1,47082
"AVB","2249850","2305099",1,80000
"AVBP","225850","242550",1,42562
"AVD","51900","54500",1,2000
"AVDE","671200","678300",1,44706
"AVDL","120700","134500",1,72148
"AVDS","560799","567450",1,882
"AVDV","696800","713100",1,14961
"AVDX","79000","83300",1,204679
"AVEE","584800","594396",1,2260
"AVEM","592000","750000",1,85160
"AVES","519201","528300",1,2794
"AVGE","735600","742299",1,4739
"AVGO","1643800","1802500",1,3771583
"AVGR","9300","10100",1,18088
"AVGV","623600","631000",1,732
"AVGX","204000","224900",1,13879
"AVIE","638200","638200",1,1
"AVIG","423400","425600",1,13330
"AVIR","34000","35400",1,28637
"AVIV","561650","566700",1,17192
"AVK","113201","116100",1,6684
"AVK^","140","576",1,25800
"AVLC","656600","660963",1,318
"AVLV","652200","660000",1,44968
"AVMA","596686","599700",1,7096
"AVMC","637400","646200",1,8940
"AVMU","468300","469600",1,386
"AVMV","636892","646700",1,472
"AVNM","602000","607200",1,3950
"AVNS","233400","241000",1,3073
"AVNT","498600","515600",1,37342
"AVNV","605500","610274",1,145
"AVNW","215300","227000",1,15858
"AVO","126600","131000",1,52244
"AVPT","115000","119400",1,89126
"AVPTW","25430","26600",1,4700
"AVRE","468300","475105",1,7182
"AVSC","513400","544600",1,7782
"AVSD","607599","612000",1,1088
"AVSE","558350","563399",1,1171
"AVSF","470450","471800",1,8494
"AVSU","648950","655100",1,4626
"AVT","531600","550300",1,354998
"AVTE","19231","21100",1,42831
"AVTR","256700","265900",1,250000
"AVTX","84373","95400",1,1778
"AVUS","942600","953750",1,30734
"AVUV","940600","969050",1,18450
"AVXC","550600","557400",1,3543
"AVXL","54501","59000",1,62058
"AVY","2183300","2245700",1,97872
"AWAY","199901","207000",1,700
"AWEG","248900","251000",1,200
"AWF","112300","113600",1,9941
"AWH","7429","9000",1,6000
"AWI","1284000","1326300",1,9716
